poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669301023_819367168, 1669301023.819367, 0.824306, -0.566102, 0.006933, 59.354502, 0.566139, 0.824291, -0.005579, -10.693208, -0.002556, 0.008524, 0.999960, -0.191421, 0.000000, 0.000000, 0.000000, 1.000000
1669301025_19363072, 1669301025.019363, 0.787472, -0.616265, 0.010237, 60.388690, 0.616336, 0.787458, -0.006324, -10.864034, -0.004164, 0.011289, 0.999928, -0.206535, 0.000000, 0.000000, 0.000000, 1.000000
1669301026_319255296, 1669301026.319255, 0.791324, -0.611350, 0.007569, 61.454248, 0.611395, 0.791231, -0.012264, -11.018253, 0.001509, 0.014333, 0.999896, -0.222121, 0.000000, 0.000000, 0.000000, 1.000000
1669301035_119186944, 1669301035.119187, 0.816246, -0.577614, 0.010185, 60.439764, 0.577685, 0.816235, -0.006366, -10.847268, -0.004636, 0.011080, 0.999928, -0.208019, 0.000000, 0.000000, 0.000000, 1.000000
1669301037_19324160, 1669301037.019324, 0.827157, -0.561923, 0.007374, 59.450537, 0.561962, 0.827146, -0.005260, -10.631868, -0.003144, 0.008495, 0.999959, -0.192944, 0.000000, 0.000000, 0.000000, 1.000000
1669301058_520538880, 1669301058.520539, 0.794832, -0.606715, 0.011808, 58.451558, 0.606819, 0.794786, -0.009315, -10.466441, -0.003734, 0.014569, 0.999887, -0.175817, 0.000000, 0.000000, 0.000000, 1.000000
1669301061_20618496, 1669301061.020618, 0.793427, -0.608657, 0.003065, 57.413277, 0.608663, 0.793427, -0.001765, -10.311006, -0.001358, 0.003266, 0.999994, -0.161898, 0.000000, 0.000000, 0.000000, 1.000000
1669301062_920742656, 1669301062.920743, 0.840344, -0.542045, 0.003097, 56.380346, 0.542051, 0.840344, -0.001559, -10.134379, -0.001757, 0.002989, 0.999994, -0.151639, 0.000000, 0.000000, 0.000000, 1.000000
1669301092_521776128, 1669301092.521776, 0.814860, -0.579600, 0.008141, 55.394760, 0.579622, 0.814885, -0.000389, -9.909911, -0.006408, 0.005036, 0.999967, -0.141673, 0.000000, 0.000000, 0.000000, 1.000000
1669301095_721775360, 1669301095.721775, 0.812258, -0.583165, 0.012488, 54.385228, 0.583251, 0.812279, -0.004593, -9.728015, -0.007465, 0.011014, 0.999911, -0.127681, 0.000000, 0.000000, 0.000000, 1.000000
